Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,1600.000000,1760.000000,1550.000000,1700.000000,1700.000000,25815600
2021-03-23,1720.000000,1760.000000,1600.000000,1610.000000,1610.000000,7000800
2021-03-24,1595.000000,1600.000000,1500.000000,1500.000000,1500.000000,6216200
2021-03-25,1500.000000,1500.000000,1395.000000,1395.000000,1395.000000,2318800
2021-03-26,1385.000000,1450.000000,1300.000000,1380.000000,1380.000000,3582400
2021-03-29,1400.000000,1400.000000,1285.000000,1285.000000,1285.000000,2058100
2021-03-30,1285.000000,1365.000000,1200.000000,1200.000000,1200.000000,10495200
2021-03-31,1180.000000,1195.000000,1120.000000,1120.000000,1120.000000,2565100
2021-04-01,1095.000000,1100.000000,1045.000000,1045.000000,1045.000000,2645600
2021-04-05,1000.000000,1020.000000,975.000000,975.000000,975.000000,6321700
2021-04-06,975.000000,980.000000,910.000000,930.000000,930.000000,7198700
2021-04-07,930.000000,1160.000000,930.000000,1160.000000,1160.000000,20528000
2021-04-08,1260.000000,1450.000000,1260.000000,1450.000000,1450.000000,21280800
2021-04-09,1550.000000,1740.000000,1350.000000,1490.000000,1490.000000,37372000
2021-04-12,1490.000000,1600.000000,1390.000000,1410.000000,1410.000000,7905600
2021-04-13,1430.000000,1520.000000,1400.000000,1455.000000,1455.000000,6623100
2021-04-14,1475.000000,1500.000000,1355.000000,1355.000000,1355.000000,5727400
2021-04-15,1355.000000,1375.000000,1265.000000,1265.000000,1265.000000,3057200
2021-04-16,1265.000000,1525.000000,1185.000000,1345.000000,1345.000000,14736400
2021-04-19,1350.000000,1445.000000,1320.000000,1425.000000,1425.000000,4297600
2021-04-20,1435.000000,1610.000000,1435.000000,1530.000000,1530.000000,22475400
2021-04-21,1550.000000,1665.000000,1475.000000,1520.000000,1520.000000,10925500
2021-04-22,1550.000000,1580.000000,1415.000000,1415.000000,1415.000000,4684600
2021-04-23,1415.000000,1415.000000,1320.000000,1320.000000,1320.000000,6488800
2021-04-26,1320.000000,1330.000000,1230.000000,1235.000000,1235.000000,2731600
2021-04-27,1235.000000,1380.000000,1155.000000,1330.000000,1330.000000,6385200
2021-04-28,1370.000000,1380.000000,1280.000000,1285.000000,1285.000000,2074700
2021-04-29,1290.000000,1325.000000,1240.000000,1270.000000,1270.000000,2798600
