Industry,Company
Food and Beverages,Daimond  Food Indonesia Tbk.
Food and Beverages,Prima Cakrawala Abadi Tbk.
Food and Beverages,Akasha Wira International Tbk.
Food and Beverages,FKS Food Sejahtera Tbk.
Food and Beverages,Tri Banyan Tirta Tbk.
Food and Beverages,Bumi Teknokultura Unggul Tbk.
Food and Beverages,Budi Starch & Sweetener Tbk.
Food and Beverages,Campina Ice Cream Industry Tbk.
Food and Beverages,Wilmar Cahaya Indonesia Tbk.
Food and Beverages,Sariguna Primatirta Tbk.
Food and Beverages,Wahana Interfood Nusantara Tbk.
Food and Beverages,Delta Djakarta Tbk.
Food and Beverages,Morenzo Abadi Perkasa Tbk.
Food and Beverages,Sentra Food Indonesia Tbk.
Food and Beverages,Garudafood Putra Putri Jaya Tbk.
Food and Beverages,Buyung Poetra Sembada Tbk.
Food and Beverages,Indofood CBP Sukses Makmur Tbk.
Food and Beverages,Era Mandiri Cemerlang Tbk.
Food and Beverages,Indofood Sukses Makmur Tbk.
Food and Beverages,Mulia Boga Raya Tbk.

